NAME,EMP,PAYANN,ESTAB,NAICS2017_LABEL,NAICS2017,state
Alabama,228506,7203839,17661,Retail trade,44-45,01
Alaska,33449,1241873,2397,Retail trade,44-45,02
Arizona,342612,12950005,17541,Retail trade,44-45,04
Puerto Rico,126048,2791885,9558,Retail trade,44-45,72
United States Virgin Islands,5152,141927,427,Retail trade,44-45,78
Arkansas,139318,4549812,10469,Retail trade,44-45,05
California,1634401,66976905,105805,Retail trade,44-45,06
Colorado,285291,10375199,18590,Retail trade,44-45,08
Connecticut,172793,6388815,11612,Retail trade,44-45,09
Delaware,53372,1769871,3732,Retail trade,44-45,10
District of Columbia,20265,730980,1664,Retail trade,44-45,11
Florida,1090804,37705341,75295,Retail trade,44-45,12
Georgia,485471,15816493,35518,Retail trade,44-45,13
Hawaii,61474,2272324,4384,Retail trade,44-45,15
Idaho,90164,3191301,6176,Retail trade,44-45,16
Illinois,571707,19048541,36105,Retail trade,44-45,17
Indiana,330384,10535037,20821,Retail trade,44-45,18
Iowa,186113,5337598,11062,Retail trade,44-45,19
Kansas,143852,4365233,9547,Retail trade,44-45,20
Kentucky,213947,6685335,14773,Retail trade,44-45,21
Louisiana,218520,6881324,15835,Retail trade,44-45,22
Maine,81690,2857206,6006,Retail trade,44-45,23
Maryland,283215,9857831,16885,Retail trade,44-45,24
Massachusetts,344515,14159568,22474,Retail trade,44-45,25
Michigan,454038,15250702,32865,Retail trade,44-45,26
Minnesota,296995,9481509,17768,Retail trade,44-45,27
Mississippi,135457,3954110,11160,Retail trade,44-45,28
Missouri,308786,9762276,19815,Retail trade,44-45,29
Montana,59024,2063756,4576,Retail trade,44-45,30
Nebraska,107733,3371261,6878,Retail trade,44-45,31
Nevada,151908,5606760,8839,Retail trade,44-45,32
New Hampshire,91406,3414957,5718,Retail trade,44-45,33
New Jersey,440147,16422911,29885,Retail trade,44-45,34
New Mexico,90493,2974984,6012,Retail trade,44-45,35
New York,849233,33129854,72828,Retail trade,44-45,36
North Carolina,512706,15624170,34963,Retail trade,44-45,37
North Dakota,46355,1559709,3123,Retail trade,44-45,38
Ohio,552497,17973707,34090,Retail trade,44-45,39
Oklahoma,183688,5929080,13277,Retail trade,44-45,40
Oregon,214079,7670992,13914,Retail trade,44-45,41
Pennsylvania,634259,20844415,40439,Retail trade,44-45,42
Rhode Island,47172,1672377,3566,Retail trade,44-45,44
South Carolina,256969,7832020,18025,Retail trade,44-45,45
South Dakota,52879,1675269,3742,Retail trade,44-45,46
Tennessee,332323,10970393,22874,Retail trade,44-45,47
Texas,1319347,45886284,82077,Retail trade,44-45,48
Utah,168226,5944792,10332,Retail trade,44-45,49
Vermont,35835,1274918,3014,Retail trade,44-45,50
Virginia,419876,13447811,25776,Retail trade,44-45,51
Washington,343060,13636819,20755,Retail trade,44-45,53
West Virginia,78328,2322019,5616,Retail trade,44-45,54
Wisconsin,305250,9708941,17988,Retail trade,44-45,55
Wyoming,30698,1046419,2612,Retail trade,44-45,56
American Samoa,1518,24331,183,Retail trade,44-45,60
Guam,8591,199886,611,Retail trade,44-45,66
Commonwealth of the Northern Mariana Islands,1799,31917,289,Retail trade,44-45,69
