NAME,EMP,PAYANN,ESTAB,NAICS2017,NAICS2017_LABEL,NAICS2017,state,EMP_PER_ESTAB,REVENUE_PER_ESTAB
Alabama,228506,7203839,17661,44-45,Retail trade,44-45,01,12.938451956287865,407895.3060415605
Alaska,33449,1241873,2397,44-45,Retail trade,44-45,02,13.954526491447643,518094.7017104714
Arizona,342612,12950005,17541,44-45,Retail trade,44-45,04,19.532067727039507,738270.6231115672
Arkansas,139318,4549812,10469,44-45,Retail trade,44-45,05,13.307670264590696,434598.52899035247
California,1634401,66976905,105805,44-45,Retail trade,44-45,06,15.447294551297198,633022.1161570814
Colorado,285291,10375199,18590,44-45,Retail trade,44-45,08,15.346476600322754,558106.4550833781
Connecticut,172793,6388815,11612,44-45,Retail trade,44-45,09,14.88055459869101,550190.7509472959
Delaware,53372,1769871,3732,44-45,Retail trade,44-45,10,14.30117899249732,474241.961414791
District of Columbia,20265,730980,1664,44-45,Retail trade,44-45,11,12.178485576923077,439290.8653846154
Florida,1090804,37705341,75295,44-45,Retail trade,44-45,12,14.487070854638421,500768.1917790026
Georgia,485471,15816493,35518,44-45,Retail trade,44-45,13,13.668309026409144,445309.22349231376
Hawaii,61474,2272324,4384,44-45,Retail trade,44-45,15,14.022354014598541,518322.0802919708
Idaho,90164,3191301,6176,44-45,Retail trade,44-45,16,14.599093264248705,516726.1981865285
Illinois,571707,19048541,36105,44-45,Retail trade,44-45,17,15.834565849605317,527587.3424733416
Indiana,330384,10535037,20821,44-45,Retail trade,44-45,18,15.867825752845684,505981.3169396283
Iowa,186113,5337598,11062,44-45,Retail trade,44-45,19,16.82453444223468,482516.543120593
Kansas,143852,4365233,9547,44-45,Retail trade,44-45,20,15.06776998009846,457236.09510841104
Kentucky,213947,6685335,14773,44-45,Retail trade,44-45,21,14.482298788330061,452537.3993095512
Louisiana,218520,6881324,15835,44-45,Retail trade,44-45,22,13.79981054625829,434564.19324281655
Maine,81690,2857206,6006,44-45,Retail trade,44-45,23,13.601398601398602,475725.2747252747
Maryland,283215,9857831,16885,44-45,Retail trade,44-45,24,16.773171453953214,583821.7944921528
Massachusetts,344515,14159568,22474,44-45,Retail trade,44-45,25,15.329491857257276,630042.1820770669
Michigan,454038,15250702,32865,44-45,Retail trade,44-45,26,13.815244180739388,464040.8337136772
Minnesota,296995,9481509,17768,44-45,Retail trade,44-45,27,16.715162089149032,533628.3768572715
Mississippi,135457,3954110,11160,44-45,Retail trade,44-45,28,12.137724014336918,354310.9318996416
Missouri,308786,9762276,19815,44-45,Retail trade,44-45,29,15.583446883673984,492671.00681302045
Montana,59024,2063756,4576,44-45,Retail trade,44-45,30,12.898601398601398,450995.6293706294
Nebraska,107733,3371261,6878,44-45,Retail trade,44-45,31,15.663419598720559,490151.3521372492
Nevada,151908,5606760,8839,44-45,Retail trade,44-45,32,17.18610702568164,634320.6245050345
New Hampshire,91406,3414957,5718,44-45,Retail trade,44-45,33,15.985659321441064,597229.275970619
New Jersey,440147,16422911,29885,44-45,Retail trade,44-45,34,14.728024092354024,549536.9248787017
New Mexico,90493,2974984,6012,44-45,Retail trade,44-45,35,15.0520625415835,494840.9846972721
New York,849233,33129854,72828,44-45,Retail trade,44-45,36,11.660803537101115,454905.4484538914
North Carolina,512706,15624170,34963,44-45,Retail trade,44-45,37,14.664245059062438,446877.270257129
North Dakota,46355,1559709,3123,44-45,Retail trade,44-45,38,14.84309958373359,499426.51296829974
Ohio,552497,17973707,34090,44-45,Retail trade,44-45,39,16.207010853622762,527242.798474626
Oklahoma,183688,5929080,13277,44-45,Retail trade,44-45,40,13.835053099344732,446567.74873841985
Oregon,214079,7670992,13914,44-45,Retail trade,44-45,41,15.385870346413684,551314.6471180107
Pennsylvania,634259,20844415,40439,44-45,Retail trade,44-45,42,15.684339375355474,515453.2753035436
Rhode Island,47172,1672377,3566,44-45,Retail trade,44-45,44,13.228266965787999,468978.40717891196
South Carolina,256969,7832020,18025,44-45,Retail trade,44-45,45,14.25625520110957,434508.7378640777
South Dakota,52879,1675269,3742,44-45,Retail trade,44-45,46,14.13121325494388,447693.4794227686
Tennessee,332323,10970393,22874,44-45,Retail trade,44-45,47,14.528416542799686,479600.9880213343
Texas,1319347,45886284,82077,44-45,Retail trade,44-45,48,16.07450321039999,559063.8546730509
Utah,168226,5944792,10332,44-45,Retail trade,44-45,49,16.282036391792488,575376.6937669377
Vermont,35835,1274918,3014,44-45,Retail trade,44-45,50,11.889515593895156,422998.6728599867
Virginia,419876,13447811,25776,44-45,Retail trade,44-45,51,16.28941651148355,521718.3038485413
Washington,343060,13636819,20755,44-45,Retail trade,44-45,53,16.529029149602504,657037.7740303541
West Virginia,78328,2322019,5616,44-45,Retail trade,44-45,54,13.947293447293447,413464.92165242165
Wisconsin,305250,9708941,17988,44-45,Retail trade,44-45,55,16.96964643095397,539745.4414053813
Wyoming,30698,1046419,2612,44-45,Retail trade,44-45,56,11.752679938744258,400619.8315467075
American Samoa,1518,24331,183,44-45,Retail trade,44-45,60,8.295081967213115,132956.28415300546
Guam,8591,199886,611,44-45,Retail trade,44-45,66,14.060556464811784,327145.6628477905
Commonwealth of the Northern Mariana Islands,1799,31917,289,44-45,Retail trade,44-45,69,6.224913494809688,110439.44636678201
Puerto Rico,126048,2791885,9558,44-45,Retail trade,44-45,72,13.187696170747019,292099.28855409083
United States Virgin Islands,5152,141927,427,44-45,Retail trade,44-45,78,12.065573770491802,332381.7330210773
